Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
50580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
50940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
51960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
