Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
26280,-28734.183401870247,19983.660939346122,140.8541666666625,300.0,0,1,1
26340,-28849.31130727943,19817.094575309035,140.83333333332916,300.0,0,1,1
26400,-28963.473672439937,19649.864964852604,140.81249999999582,300.0,0,1,1
26460,-29076.666676520217,19481.977704884117,140.79166666666248,300.0,0,1,1
26520,-29188.886531131706,19313.438414321292,140.77083333332914,300.0,0,1,1
26580,-29300.129480455576,19144.25273390427,140.7499999999958,300.0,0,1,1
26640,-29410.391801368463,18974.42632600685,140.72916666666245,300.0,0,1,1
26700,-29519.66980356709,18803.96487444689,140.7083333333291,300.0,0,1,1
26760,-29627.959829691707,18632.874084296225,140.68749999999577,300.0,0,1,1
26820,-29735.258255448563,18461.159681689598,140.66666666666242,300.0,0,1,1
26880,-29841.561489731146,18288.827413633113,140.64583333332908,300.0,0,1,1
26940,-29946.86597474051,18115.883047811727,140.62499999999574,300.0,0,1,1
27000,-30051.168186104143,17942.332372396457,140.6041666666624,300.0,0,1,1
27060,-30154.464632994095,17768.181195850404,140.58333333332905,300.0,0,1,1
27120,-30256.75185824366,17593.43534673466,140.5624999999957,300.0,0,1,1
27180,-30358.026438463254,17418.100673512858,140.54166666666237,300.0,0,1,1
27240,-30458.284984154845,17242.18304435581,140.52083333332902,300.0,0,1,1
27300,-30557.5241398255,17065.68834694474,140.49999999999568,300.0,0,1,1
27360,-30655.74058409958,16888.622488274563,140.47916666666234,300.0,0,1,1
27420,-30752.931029829993,16710.99139445601,140.458333333329,300.0,0,1,1
27480,-30849.092224208147,16532.80101051736,140.43749999999565,300.0,0,1,1
27540,-30944.220948872888,16354.05730020535,140.4166666666623,300.0,0,1,1
27600,-31038.314020018133,16174.766245785726,140.39583333332897,300.0,0,1,1
27660,-31131.36828849948,15994.933847842949,140.37499999999562,300.0,0,1,1
27720,-31223.380639939587,15814.566125079404,140.35416666666228,300.0,0,1,1
27780,-31314.347994832402,15633.669114113913,140.33333333332894,300.0,0,1,1
27840,-31404.26730864623,15452.248869279729,140.3124999999956,300.0,0,1,1
27900,-31493.13557192565,15270.311462421925,140.29166666666225,300.0,0,1,1
27960,-31580.949810392212,15087.862982694114,140.2708333333289,300.0,0,1,1
28020,-31667.707085043963,14904.909536354771,140.24999999999557,300.0,0,1,1
28080,-31753.40449225388,14721.45724656273,140.22916666666222,300.0,0,1,1
28140,-31838.03916386697,14537.512253172352,140.20833333332888,300.0,0,1,1
28200,-31921.60826729632,14353.080712527972,140.18749999999554,300.0,0,1,1
28260,-32004.109005617876,14168.168797257895,140.1666666666622,300.0,0,1,1
28320,-32085.538617664028,13982.782696067818,140.14583333332885,300.0,0,1,1
28380,-32165.89437811608,13796.928613533655,140.1249999999955,300.0,0,1,1
28440,-32245.17359759541,13610.612769893904,140.10416666666217,300.0,0,1,1
28500,-32323.373622753505,13423.841400841495,140.08333333332882,300.0,0,1,1
28560,-32400.49183636077,13236.620757315002,140.06249999999548,300.0,0,1,1
28620,-32476.52565739409,13048.957105289563,140.04166666666214,300.0,0,1,1
28680,-32551.47254112323,12860.85672556708,140.0208333333288,300.0,0,1,1
28740,-32625.32997919599,12672.32591356608,139.99999999999545,300.0,0,1,1
28800,-32698.09549972226,12483.37097911082,139.9791666666621,300.0,0,1,1
28860,-32769.76666735656,12293.998246220399,139.95833333332877,300.0,0,1,1
28920,-32840.34108337968,12104.214052896947,139.93749999999542,300.0,0,1,1
28980,-32909.81638577897,11914.02475091343,139.91666666666208,300.0,0,1,1
29040,-32978.19024932729,11723.436705601227,139.89583333332874,300.0,0,1,1
29100,-33045.46038566092,11532.456295637048,139.8749999999954,300.0,0,1,1
29160,-33111.624543356156,11341.089912829279,139.85416666666205,300.0,0,1,1
29220,-33176.680508004574,11149.343961904327,139.8333333333287,300.0,0,1,1
29280,-33240.62610228724,10957.224860292103,139.81249999999537,300.0,0,1,1
29340,-33303.4591860475,10764.739037911306,139.79166666666202,300.0,0,1,1
29400,-33365.177656362685,10571.892936954095,139.77083333332868,300.0,0,1,1
29460,-33425.77944761441,10378.69301167064,139.74999999999534,300.0,0,1,1
29520,-33485.2625315578,10185.145728153077,139.729166666662,300.0,0,1,1
29580,-33543.624917389265,9991.257564119025,139.70833333332865,300.0,0,1,1
29640,-33600.86465181324,9797.035008694778,139.6874999999953,300.0,0,1,1
29700,-33656.97981910746,9602.484562198284,139.66666666666197,300.0,0,1,1
29760,-33711.96854118716,9407.612735921392,139.64583333332862,300.0,0,1,1
29820,-33765.828977667865,9212.426051912078,139.62499999999528,300.0,0,1,1
29880,-33818.559325927024,9016.931042756058,139.60416666666194,300.0,0,1,1
29940,-33870.15782116432,8821.134251358199,139.5833333333286,300.0,0,1,1
30000,-33920.62273646075,8625.042230723597,139.56249999999525,300.0,0,1,1
30060,-33969.95238283642,8428.661543738084,139.5416666666619,300.0,0,1,1
30120,-34018.145109307065,8231.998762948811,139.52083333332857,300.0,0,1,1
30180,-34065.19930293931,8035.060470344091,139.49999999999523,300.0,0,1,1
30240,-34111.11338890464,7837.853257133201,139.47916666666188,300.0,0,1,1
30300,-34155.88583053215,7640.383723525704,139.45833333332854,300.0,0,1,1
30360,-34199.51512935989,7442.658478510668,139.4374999999952,300.0,0,1,1
30420,-34241.999825185114,7244.684139635462,139.41666666666185,300.0,0,1,1
30480,-34283.338496113094,7046.467332784093,139.3958333333285,300.0,0,1,1
30540,-34323.5297586047,6848.014691955672,139.37499999999517,300.0,0,1,1
30600,-34362.57226752276,6649.332859042257,139.35416666666183,300.0,0,1,1
30660,-34400.464716177004,6450.428483606667,139.33333333332848,300.0,0,1,1
30720,-34437.20583636788,6251.308222659744,139.31249999999514,300.0,0,1,1
30780,-34472.794398428916,6051.978740437792,139.2916666666618,300.0,0,1,1
30840,-34507.22921126795,5852.446708179348,139.27083333332845,300.0,0,1,1
30900,-34540.509122406926,5652.718803902006,139.2499999999951,300.0,0,1,1
30960,-34572.633018020526,5452.801712178819,139.22916666666177,300.0,0,1,1
31020,-34603.5998229734,5252.702123914709,139.20833333332843,300.0,0,1,1
31080,-34633.40850085619,5052.426736122504,139.18749999999508,300.0,0,1,1
31140,-34662.05805402016,4851.9822516986405,139.16666666666174,300.0,0,1,1
31200,-34689.54752361067,4651.375379199027,139.1458333333284,300.0,0,1,1
31260,-34715.87598959921,4450.61283261441,139.12499999999505,300.0,0,1,1
31320,-34741.04257081415,4249.701331145753,139.1041666666617,300.0,0,1,1
31380,-34765.046424970344,4048.647598979204,139.08333333332837,300.0,0,1,1
31440,-34787.88674869721,3847.4583650612444,139.06249999999503,300.0,0,1,1
31500,-34809.56277756572,3646.1403628733237,139.04166666666168,300.0,0,1,1
31560,-34830.07378611389,3444.7003302065596,139.02083333332834,300.0,0,1,1
