Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
713160,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713220,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713280,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713340,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713400,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713460,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713520,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713580,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713640,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713700,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713760,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713820,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713880,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
713940,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714000,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714060,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714120,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714180,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714240,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714300,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714360,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714420,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
